ls:     file format elf64-x86-64
000000000061e230 R_X86_64_JUMP_SLOT  getfilecon
000000000061e238 R_X86_64_JUMP_SLOT  tzset@GLIBC_2.2.5
000000000061e240 R_X86_64_JUMP_SLOT  fileno@GLIBC_2.2.5
000000000061e248 R_X86_64_JUMP_SLOT  tcgetpgrp@GLIBC_2.2.5
000000000061e250 R_X86_64_JUMP_SLOT  __xstat@GLIBC_2.2.5
000000000061e258 R_X86_64_JUMP_SLOT  readdir@GLIBC_2.2.5
000000000061e260 R_X86_64_JUMP_SLOT  wcwidth@GLIBC_2.2.5
000000000061e268 R_X86_64_JUMP_SLOT  malloc@GLIBC_2.2.5
000000000061e270 R_X86_64_JUMP_SLOT  fflush@GLIBC_2.2.5
000000000061e278 R_X86_64_JUMP_SLOT  nl_langinfo@GLIBC_2.2.5
000000000061e280 R_X86_64_JUMP_SLOT  ungetc@GLIBC_2.2.5
000000000061e288 R_X86_64_JUMP_SLOT  __fxstat@GLIBC_2.2.5
000000000061e290 R_X86_64_JUMP_SLOT  strcoll@GLIBC_2.2.5
000000000061e298 R_X86_64_JUMP_SLOT  __freading@GLIBC_2.2.5
000000000061e2a0 R_X86_64_JUMP_SLOT  fwrite_unlocked@GLIBC_2.2.5
000000000061e2a8 R_X86_64_JUMP_SLOT  realloc@GLIBC_2.2.5
000000000061e2b0 R_X86_64_JUMP_SLOT  stpncpy@GLIBC_2.2.5
000000000061e2b8 R_X86_64_JUMP_SLOT  fdopen@GLIBC_2.2.5
000000000061e2c0 R_X86_64_JUMP_SLOT  setlocale@GLIBC_2.2.5
000000000061e2c8 R_X86_64_JUMP_SLOT  __printf_chk@GLIBC_2.3.4
000000000061e2d0 R_X86_64_JUMP_SLOT  timegm@GLIBC_2.2.5
000000000061e2d8 R_X86_64_JUMP_SLOT  strftime@GLIBC_2.2.5
000000000061e2e0 R_X86_64_JUMP_SLOT  mempcpy@GLIBC_2.2.5
000000000061e2e8 R_X86_64_JUMP_SLOT  memmove@GLIBC_2.2.5
000000000061e2f0 R_X86_64_JUMP_SLOT  error@GLIBC_2.2.5
000000000061e2f8 R_X86_64_JUMP_SLOT  open@GLIBC_2.2.5
000000000061e300 R_X86_64_JUMP_SLOT  fseeko@GLIBC_2.2.5
000000000061e308 R_X86_64_JUMP_SLOT  unsetenv@GLIBC_2.2.5
000000000061e310 R_X86_64_JUMP_SLOT  strtoul@GLIBC_2.2.5
000000000061e318 R_X86_64_JUMP_SLOT  __cxa_atexit@GLIBC_2.2.5
000000000061e320 R_X86_64_JUMP_SLOT  wcstombs@GLIBC_2.2.5
000000000061e328 R_X86_64_JUMP_SLOT  getxattr@GLIBC_2.3
000000000061e330 R_X86_64_JUMP_SLOT  freecon
000000000061e338 R_X86_64_JUMP_SLOT  sigismember@GLIBC_2.2.5
000000000061e340 R_X86_64_JUMP_SLOT  exit@GLIBC_2.2.5
000000000061e348 R_X86_64_JUMP_SLOT  fwrite@GLIBC_2.2.5
000000000061e350 R_X86_64_JUMP_SLOT  __fprintf_chk@GLIBC_2.3.4
000000000061e358 R_X86_64_JUMP_SLOT  fflush_unlocked@GLIBC_2.2.5
000000000061e360 R_X86_64_JUMP_SLOT  mbsinit@GLIBC_2.2.5
000000000061e368 R_X86_64_JUMP_SLOT  iswprint@GLIBC_2.2.5
000000000061e370 R_X86_64_JUMP_SLOT  sigaddset@GLIBC_2.2.5
000000000061e378 R_X86_64_JUMP_SLOT  strstr@GLIBC_2.2.5
000000000061e380 R_X86_64_JUMP_SLOT  __ctype_tolower_loc@GLIBC_2.3
000000000061e388 R_X86_64_JUMP_SLOT  __ctype_b_loc@GLIBC_2.3
000000000061e390 R_X86_64_JUMP_SLOT  __sprintf_chk@GLIBC_2.3.4
